keydevid,companyid,companyname,headline,keydeveventtypeid,eventtype,keydevtoobjectroletypeid,objectroletype,announcedate,announcetime,announcedatetimezone,announceddateutc,enterdate,entertime,entereddateutc,lastmodifieddate,lastmodifieddateutc,mostimportantdateutc,speffectivedate,sptodate,gvkey,sourcetypename,ticker,conm
1933860496.0,122917.0,"Salesforce, Inc.","Salesforce Launches Agentforce 2dx with New Capabilities to Embed Proactive Agentic AI into Any Workflow, Create Multimodal Experiences, and Extend Digital Labor Throughout the Enterprise",41,Product-Related Announcements,1,Target,2025-03-05,13:00:00,Coordinated Universal Time,2025-03-05 13:00:00,2025-03-05,20:19:00,2025-03-06 01:19:00,2025-03-05 20:21:00,2025-03-06 01:21:00,2025-03-05 13:00:00,2025-03-06 01:30:14,,157855,Business Wire,CRM,SALESFORCE INC
1933952570.0,18749.0,"Amazon.com, Inc.",Pipeliner CRM Availability in Aws Marketplace,23,Client Announcements,1,Target,2025-03-05,13:00:00,Coordinated Universal Time,2025-03-05 13:00:00,2025-03-06,06:45:00,2025-03-06 11:45:00,2025-03-06 06:47:00,2025-03-06 11:47:00,2025-03-05 13:00:00,2025-03-06 12:00:18,,064768,Business Wire,AMZN,AMAZON.COM INC
1933848973.0,18749.0,"Amazon.com, Inc.",Buy with Prime Expands with Launch of All Gabb.com Products,23,Client Announcements,1,Target,2025-03-05,14:00:00,Coordinated Universal Time,2025-03-05 14:00:00,2025-03-05,19:52:00,2025-03-06 00:52:00,2025-03-05 19:55:00,2025-03-06 00:55:00,2025-03-05 14:00:00,2025-03-06 01:00:22,,064768,Business Wire,AMZN,AMAZON.COM INC
1933876858.0,24321.0,Adobe Inc.,TransPerfect Announces First-of-Its-Kind Integration for Adobe Journey Optimizer,23,Client Announcements,1,Target,2025-03-05,15:00:00,Coordinated Universal Time,2025-03-05 15:00:00,2025-03-05,21:59:00,2025-03-06 02:59:00,2025-03-05 22:02:00,2025-03-06 03:02:00,2025-03-05 15:00:00,2025-03-06 03:15:08,,012540,PR Newswire,ADBE,ADOBE INC
1933755444.0,32307.0,NVIDIA Corporation,"CoreWeave, Inc entered into an agreement to acquire Weights and Biases, Inc. from a group of shareholders.",80,M&A Transaction Announcements,4,Seller,2025-03-04,00:00:00,                              .,2025-03-04 00:00:00,2025-03-04,23:53:00,2025-03-05 04:53:00,2025-03-06 20:12:00,2025-03-07 01:12:00,2025-03-04 00:00:00,2025-03-07 01:15:12,,117768,Capital IQ Transaction Database,NVDA,NVIDIA CORP
1933520019.0,43580005.0,Palantir Technologies Inc.,Palantir Partners with Societe Generale,23,Client Announcements,1,Target,2025-03-04,11:59:00,Coordinated Universal Time,2025-03-04 11:59:00,2025-03-04,11:51:00,2025-03-04 16:51:00,2025-03-04 11:53:00,2025-03-04 16:53:00,2025-03-04 11:59:00,2025-03-04 17:00:20,,036910,Business Wire,PLTR,PALANTIR TECHNOLOG INC
1933759958.0,20765463.0,"Meta Platforms, Inc.","Sxsw, LLC, 2025 SXSW Conference & Exhibits, Mar 07, 2025 through Mar 15, 2025",149,Conferences,8,Participant,2025-03-04,13:00:00,Coordinated Universal Time,2025-03-04 13:00:00,2025-03-05,01:21:00,2025-03-05 06:21:00,2025-03-07 21:39:00,2025-03-08 02:39:00,2025-03-07 06:00:00,2025-03-08 02:45:12,,170617,MULTIPLE,META,META PLATFORMS INC
1933462332.0,25016048.0,Broadcom Inc.,"Broadcom Inc. Launches Velosky to Deliver Network Convergence, Transform Connectivity",41,Product-Related Announcements,1,Target,2025-03-04,07:00:00,Coordinated Universal Time,2025-03-04 07:00:00,2025-03-04,04:01:00,2025-03-04 09:01:00,2025-03-04 04:04:00,2025-03-04 09:04:00,2025-03-04 07:00:00,2025-03-04 09:15:11,,180711,GlobeNewswire,AVGO,BROADCOM INC
1933520018.0,24937.0,Apple Inc.,Apple Introduces iPad Air with Powerful M3 Chip and New Magic Keyboard,41,Product-Related Announcements,1,Target,2025-03-04,14:00:00,Coordinated Universal Time,2025-03-04 14:00:00,2025-03-04,11:55:00,2025-03-04 16:55:00,2025-03-04 11:57:00,2025-03-04 16:57:00,2025-03-04 14:00:00,2025-03-04 17:00:20,,001690,Business Wire,AAPL,APPLE INC
1933760341.0,21835.0,Microsoft Corporation,"Alianza, Inc. completed the acquisition of Metaswitch Networks Ltd. from Microsoft Corporation (NasdaqGS:MSFT).",81,M&A Transaction Closings,4,Seller,2025-03-04,00:00:00,                              .,2025-03-04 00:00:00,2025-03-05,01:24:00,2025-03-05 06:24:00,2025-03-05 01:29:00,2025-03-05 06:29:00,2025-03-04 00:00:00,2025-03-05 06:30:12,,012141,Capital IQ Transaction Database,MSFT,MICROSOFT CORP
1933515259.0,18749.0,"Amazon.com, Inc.",Fujifilm Signs Strategic Collaboration Agreement with Amazon Web Services,23,Client Announcements,1,Target,2025-03-04,14:00:00,Coordinated Universal Time,2025-03-04 14:00:00,2025-03-04,10:39:00,2025-03-04 15:39:00,2025-03-04 10:41:00,2025-03-04 15:41:00,2025-03-04 14:00:00,2025-03-04 15:45:11,,064768,GlobeNewswire,AMZN,AMAZON.COM INC
1933291567.0,21835.0,Microsoft Corporation,Kyndryl Announces Collaboration with Microsoft to Enable AI-Powered Healthcare,23,Client Announcements,1,Target,2025-03-03,16:01:00,Coordinated Universal Time,2025-03-03 16:01:00,2025-03-03,13:14:00,2025-03-03 18:14:00,2025-03-03 13:17:00,2025-03-03 18:17:00,2025-03-03 16:01:00,2025-03-03 18:30:14,,012141,PR Newswire,MSFT,MICROSOFT CORP
1933244824.0,21835.0,Microsoft Corporation,Microsoft Corporation Unveils Microsoft Dragon Copilot Provides the Healthcare Industry's First Unified Voice AI Assistant,41,Product-Related Announcements,1,Target,2025-03-03,15:00:00,Coordinated Universal Time,2025-03-03 15:00:00,2025-03-03,10:55:00,2025-03-03 15:55:00,2025-03-03 10:57:00,2025-03-03 15:57:00,2025-03-03 15:00:00,2025-03-03 16:00:17,,012141,PR Newswire,MSFT,MICROSOFT CORP
1933237079.0,32307.0,NVIDIA Corporation,F5 Announces Big-IP Next Cloud-Native Network Functions Deployed on NVIDIA BlueField-3 DPUs,23,Client Announcements,1,Target,2025-03-03,11:00:00,Coordinated Universal Time,2025-03-03 11:00:00,2025-03-03,07:45:00,2025-03-03 12:45:00,2025-03-03 07:47:00,2025-03-03 12:47:00,2025-03-03 11:00:00,2025-03-03 13:00:24,,117768,Business Wire,NVDA,NVIDIA CORP
1933463608.0,223236753.0,Zoom Communications Inc.,"Zoom Communications Inc. Presents at 18th Annual Emerging Technology Summit, Mar-04-2025 09:30 AM",51,Company Conference Presentations,1,Target,2025-03-03,00:00:00,Coordinated Universal Time,2025-03-03 00:00:00,2025-03-04,04:00:00,2025-03-04 09:00:00,2025-03-04 14:03:00,2025-03-04 19:03:00,2025-03-04 17:30:00,2025-03-04 19:15:11,,035005,MULTIPLE,ZM,ZOOM COMMUNICATIONS INC
1933421719.0,275004592.0,Snowflake Inc.,Strata Decision Technology and Snowflake Transform Healthcare Financial Analytics with Comprehensive Data Integration,23,Client Announcements,1,Target,2025-03-03,15:00:00,Coordinated Universal Time,2025-03-03 15:00:00,2025-03-04,00:48:00,2025-03-04 05:48:00,2025-03-04 00:49:00,2025-03-04 05:49:00,2025-03-03 15:00:00,2025-03-04 06:00:20,,339965,GlobeNewswire,SNOW,SNOWFLAKE INC
1933219004.0,32307.0,NVIDIA Corporation,Nokia and Industry Partners Accelerate AI-RAN Development #MWC25,22,Strategic Alliances,1,Target,2025-03-02,13:00:00,Coordinated Universal Time,2025-03-02 13:00:00,2025-03-03,03:44:00,2025-03-03 08:44:00,2025-03-03 03:45:00,2025-03-03 08:45:00,2025-03-02 13:00:00,2025-03-03 08:45:13,,117768,GlobeNewswire,NVDA,NVIDIA CORP
1932926853.0,32307.0,NVIDIA Corporation,"NVIDIA Corporation Presents at Mobile World Congress Barcelona 2025, Mar-03-2025",51,Company Conference Presentations,1,Target,2025-02-28,22:27:00,Coordinated Universal Time,2025-02-28 22:27:00,2025-02-28,19:00:00,2025-03-01 00:00:00,2025-02-28 19:05:00,2025-03-01 00:05:00,2025-03-03 00:00:00,2025-03-03 00:00:00,,117768,MULTIPLE,NVDA,NVIDIA CORP
1932895276.0,168864.0,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. Unveils Next-Generation AMD RDNA™? 4 Architecture with the Launch of AMD Radeon™? RX 9000 Series Graphics Cards",41,Product-Related Announcements,1,Target,2025-02-28,13:00:00,Coordinated Universal Time,2025-02-28 13:00:00,2025-02-28,08:49:00,2025-02-28 13:49:00,2025-02-28 08:51:00,2025-02-28 13:51:00,2025-02-28 13:00:00,2025-02-28 14:00:20,,001161,GlobeNewswire,AMD,ADVANCED MICRO DEVICES
1932839765.0,21835.0,Microsoft Corporation,"Microsoft Corporation Presents at HIMSS Global Health Conference & Exhibition, Mar-04-2025 01:00 PM",51,Company Conference Presentations,1,Target,2025-02-28,05:46:00,                              .,2025-02-28 05:46:00,2025-02-28,02:00:00,2025-02-28 07:00:00,2025-02-28 02:03:00,2025-02-28 07:03:00,2025-03-04 21:00:00,2025-03-04 00:00:00,,012141,MULTIPLE,MSFT,MICROSOFT CORP
1933149004.0,223236753.0,Zoom Communications Inc.,Zoom Communications Inc. has filed a Shelf Registration in the amount of $1.336944 billion.,93,Shelf Registration Filings,1,Target,2025-02-28,00:00:00,                              .,2025-02-28 00:00:00,2025-03-02,03:09:00,2025-03-02 08:09:00,2025-03-02 03:09:00,2025-03-02 08:09:00,2025-02-28 05:00:00,2025-03-02 08:15:10,,035005,Capital IQ Transaction Database,ZM,ZOOM COMMUNICATIONS INC
1932975510.0,43580005.0,Palantir Technologies Inc.,Palantir Technologies Inc. Announces Executive Changes,16,Executive/Board Changes - Other,1,Target,2025-02-28,11:06:00,Coordinated Universal Time,2025-02-28 11:06:00,2025-03-01,01:25:00,2025-03-01 06:25:00,2025-03-01 01:27:00,2025-03-01 06:27:00,2025-02-28 11:06:00,2025-03-01 06:30:13,,036910,SEC Form 8k,PLTR,PALANTIR TECHNOLOG INC
1932926854.0,33493.0,QUALCOMM Incorporated,"QUALCOMM Incorporated Presents at Mobile World Congress Barcelona 2025, Mar-03-2025",51,Company Conference Presentations,1,Target,2025-02-28,22:27:00,Coordinated Universal Time,2025-02-28 22:27:00,2025-02-28,19:00:00,2025-03-01 00:00:00,2025-02-28 19:05:00,2025-03-01 00:05:00,2025-03-03 00:00:00,2025-03-03 00:00:00,,024800,MULTIPLE,QCOM,QUALCOMM INC
1932783535.0,32307.0,NVIDIA Corporation,"NVIDIA Corporation Presents at TD Cowen 45th Annual Healthcare Conference, Mar-03-2025 11:10 AM",51,Company Conference Presentations,1,Target,2025-02-27,22:00:00,Coordinated Universal Time,2025-02-27 22:00:00,2025-02-27,20:00:00,2025-02-28 01:00:00,2025-02-27 20:04:00,2025-02-28 01:04:00,2025-03-03 16:10:00,2025-03-03 00:00:00,,117768,MULTIPLE,NVDA,NVIDIA CORP
1932764487.0,223236753.0,Zoom Communications Inc.,"Zoom Communications, Inc. and Mitel Announce Rollout of AI-First Hybrid Communications and Collaboration Solution",41,Product-Related Announcements,1,Target,2025-02-27,14:00:00,Coordinated Universal Time,2025-02-27 14:00:00,2025-02-27,17:29:00,2025-02-27 22:29:00,2025-02-27 17:31:00,2025-02-27 22:31:00,2025-02-27 14:00:00,2025-02-27 22:45:12,,035005,GlobeNewswire – Canada,ZM,ZOOM COMMUNICATIONS INC
1932772249.0,29096.0,Alphabet Inc.,"Alphabet Inc. Presents at Mobile World Congress Barcelona 2025, Mar-03-2025",51,Company Conference Presentations,1,Target,2025-02-27,18:06:00,Coordinated Universal Time,2025-02-27 18:06:00,2025-02-27,19:00:00,2025-02-28 00:00:00,2025-02-27 19:04:00,2025-02-28 00:04:00,2025-03-03 00:00:00,2025-03-03 00:00:00,,160329,MULTIPLE,GOOGL,ALPHABET INC
1932772297.0,20765463.0,"Meta Platforms, Inc.","Meta Platforms, Inc. Presents at Mobile World Congress Barcelona 2025, Mar-03-2025",51,Company Conference Presentations,1,Target,2025-02-27,18:06:00,Coordinated Universal Time,2025-02-27 18:06:00,2025-02-27,19:00:00,2025-02-28 00:00:00,2025-02-27 19:04:00,2025-02-28 00:04:00,2025-03-03 00:00:00,2025-03-03 00:00:00,,170617,MULTIPLE,META,META PLATFORMS INC
1932837474.0,275004592.0,Snowflake Inc.,Snowflake Expands AI Footprint with New Silicon Valley AI Hub and $200 million Investment in Next-Gen Startups,31,Business Expansions,1,Target,2025-02-27,18:00:00,Coordinated Universal Time,2025-02-27 18:00:00,2025-02-28,01:42:00,2025-02-28 06:42:00,2025-02-28 01:43:00,2025-02-28 06:43:00,2025-02-27 18:00:00,2025-02-28 06:45:13,,339965,Business Wire,SNOW,SNOWFLAKE INC
1933101627.0,122917.0,"Salesforce, Inc.","Flosum Leads the Way In AI-driven DevOps For Salesforce, Setting New Standards In Productivity, Quality, And Security",23,Client Announcements,1,Target,2025-02-27,15:17:00,Coordinated Universal Time,2025-02-27 15:17:00,2025-03-01,17:59:00,2025-03-01 22:59:00,2025-03-01 18:01:00,2025-03-01 23:01:00,2025-02-27 15:17:00,2025-03-01 23:15:13,,157855,GlobeNewswire,CRM,SALESFORCE INC
1932772246.0,21127.0,Intel Corporation,"Intel Corporation Presents at Mobile World Congress Barcelona 2025, Mar-03-2025",51,Company Conference Presentations,1,Target,2025-02-27,18:06:00,Coordinated Universal Time,2025-02-27 18:06:00,2025-02-27,19:00:00,2025-02-28 00:00:00,2025-02-27 19:04:00,2025-02-28 00:04:00,2025-03-03 00:00:00,2025-03-03 00:00:00,,006008,MULTIPLE,INTC,INTEL CORP
1932772247.0,21835.0,Microsoft Corporation,"Microsoft Corporation Presents at Mobile World Congress Barcelona 2025, Mar-03-2025",51,Company Conference Presentations,1,Target,2025-02-27,18:06:00,Coordinated Universal Time,2025-02-27 18:06:00,2025-02-27,19:00:00,2025-02-28 00:00:00,2025-02-27 19:04:00,2025-02-28 00:04:00,2025-03-03 00:00:00,2025-03-03 00:00:00,,012141,MULTIPLE,MSFT,MICROSOFT CORP
1932625664.0,122917.0,"Salesforce, Inc.","Salesforce, Inc. Reports Earnings Results for the Fourth Quarter Ended January 31, 2025",28,Announcements of Earnings,1,Target,2025-02-26,21:01:00,                              .,2025-02-26 21:01:00,2025-02-26,17:01:00,2025-02-26 22:01:00,2025-02-26 17:03:00,2025-02-26 22:03:00,2025-02-26 21:01:00,2025-02-26 22:15:11,2025-02-26 23:15:09,157855,S&P Capital IQ Financials Database,CRM,SALESFORCE INC
1932625664.0,122917.0,"Salesforce, Inc.","Salesforce, Inc. Reports Earnings Results for the Fourth Quarter Ended January 31, 2025",28,Announcements of Earnings,1,Target,2025-02-26,21:01:00,Coordinated Universal Time,2025-02-26 21:01:00,2025-02-26,17:01:00,2025-02-26 22:01:00,2025-02-26 18:05:00,2025-02-26 23:05:00,2025-02-26 21:01:00,2025-02-26 23:15:10,,157855,S&P Capital IQ Financials Database,CRM,SALESFORCE INC
1932702800.0,122917.0,"Salesforce, Inc.","Salesforce, Inc. Provides Earnings Guidance for the First Quarter and Full Year Ending January 31, 2026",29,Corporate Guidance - New/Confirmed,1,Target,2025-02-26,21:04:00,Coordinated Universal Time,2025-02-26 21:04:00,2025-02-27,05:33:00,2025-02-27 10:33:00,2025-02-27 05:35:00,2025-02-27 10:35:00,2025-02-26 21:04:00,2025-02-27 10:45:08,,157855,SEC Form 8k,CRM,SALESFORCE INC
1932629372.0,32307.0,NVIDIA Corporation,"NVIDIA Corporation Reports Earnings Results for the Fourth Quarter Ended January 26, 2025",28,Announcements of Earnings,1,Target,2025-02-26,21:22:00,                              .,2025-02-26 21:22:00,2025-02-26,19:03:00,2025-02-27 00:03:00,2025-02-26 19:05:00,2025-02-27 00:05:00,2025-02-26 21:22:00,2025-02-27 00:15:13,2025-02-27 01:15:11,117768,S&P Capital IQ Financials Database,NVDA,NVIDIA CORP
1932629883.0,32307.0,NVIDIA Corporation,"NVIDIA Corporation Reports Earnings Results for the Full Year Ended January 26, 2025",28,Announcements of Earnings,1,Target,2025-02-26,21:49:00,Coordinated Universal Time,2025-02-26 21:49:00,2025-02-26,19:31:00,2025-02-27 00:31:00,2025-02-26 19:34:00,2025-02-27 00:34:00,2025-02-26 21:49:00,2025-02-27 00:45:11,,117768,S&P Capital IQ Financials Database,NVDA,NVIDIA CORP
1932629619.0,275004592.0,Snowflake Inc.,"Snowflake Inc. Reports Earnings Results for the Fourth Quarter and Full Year Ended January 31, 2025",28,Announcements of Earnings,1,Target,2025-02-26,21:07:00,                              .,2025-02-26 21:07:00,2025-02-26,19:16:00,2025-02-27 00:16:00,2025-02-26 19:17:00,2025-02-27 00:17:00,2025-02-26 21:07:00,2025-02-27 00:30:16,2025-02-27 01:15:11,339965,S&P Capital IQ Financials Database,SNOW,SNOWFLAKE INC
1932629372.0,32307.0,NVIDIA Corporation,"NVIDIA Corporation Reports Earnings Results for the Fourth Quarter and Full Year Ended January 26, 2025",28,Announcements of Earnings,1,Target,2025-02-26,21:22:00,Coordinated Universal Time,2025-02-26 21:22:00,2025-02-26,19:03:00,2025-02-27 00:03:00,2025-02-27 00:17:00,2025-02-27 05:17:00,2025-02-26 21:22:00,2025-02-27 05:30:16,,117768,S&P Capital IQ Financials Database,NVDA,NVIDIA CORP
1932597081.0,32307.0,NVIDIA Corporation,NVIDIA Corporation - Special Call,194,Special Calls,1,Target,2025-02-26,11:37:00,Coordinated Universal Time,2025-02-26 11:37:00,2025-02-26,07:49:00,2025-02-26 12:49:00,2025-02-26 07:51:00,2025-02-26 12:51:00,2025-02-27 08:30:00,2025-02-27 00:00:00,,117768,Company Website,NVDA,NVIDIA CORP
1932626968.0,24937.0,Apple Inc.,"Apple Inc. Presents at Mobile World Congress Barcelona 2025, Mar-03-2025",51,Company Conference Presentations,1,Target,2025-02-26,18:11:00,                              .,2025-02-26 18:11:00,2025-02-26,18:00:00,2025-02-26 23:00:00,2025-02-27 11:01:00,2025-02-27 16:01:00,2025-03-03 00:00:00,2025-03-03 00:00:00,,001690,MULTIPLE,AAPL,APPLE INC
1932629372.0,32307.0,NVIDIA Corporation,"NVIDIA Corporation Reports Earnings Results for the Fourth Quarter Ended January 26, 2025",28,Announcements of Earnings,1,Target,2025-02-26,21:22:00,Coordinated Universal Time,2025-02-26 21:22:00,2025-02-26,19:03:00,2025-02-27 00:03:00,2025-02-26 20:05:00,2025-02-27 01:05:00,2025-02-26 21:22:00,2025-02-27 01:15:12,2025-02-27 05:30:15,117768,S&P Capital IQ Financials Database,NVDA,NVIDIA CORP
1932625316.0,21835.0,Microsoft Corporation,Snowflake Securely Integrates Microsoft Azure OpenAI Service to Provide Access to the Latest OpenAI Models with Expanded Microsoft Partnership,23,Client Announcements,1,Target,2025-02-26,21:05:00,Coordinated Universal Time,2025-02-26 21:05:00,2025-02-26,18:55:00,2025-02-26 23:55:00,2025-02-26 18:57:00,2025-02-26 23:57:00,2025-02-26 21:05:00,2025-02-27 00:00:24,,012141,Business Wire,MSFT,MICROSOFT CORP
1932702903.0,275004592.0,Snowflake Inc.,Snowflake Inc. Provides Earnings Guidance for the First Quarter and Full Year of Fiscal 2026,29,Corporate Guidance - New/Confirmed,1,Target,2025-02-26,21:07:00,Coordinated Universal Time,2025-02-26 21:07:00,2025-02-27,04:47:00,2025-02-27 09:47:00,2025-02-27 04:49:00,2025-02-27 09:49:00,2025-02-26 21:07:00,2025-02-27 10:00:19,,339965,SEC Form 8k,SNOW,SNOWFLAKE INC
1932625316.0,275004592.0,Snowflake Inc.,Snowflake Securely Integrates Microsoft Azure OpenAI Service to Provide Access to the Latest OpenAI Models with Expanded Microsoft Partnership,23,Client Announcements,1,Target,2025-02-26,21:05:00,Coordinated Universal Time,2025-02-26 21:05:00,2025-02-26,18:55:00,2025-02-26 23:55:00,2025-02-26 18:57:00,2025-02-26 23:57:00,2025-02-26 21:05:00,2025-02-27 00:00:24,,339965,Business Wire,SNOW,SNOWFLAKE INC
1932706124.0,32307.0,NVIDIA Corporation,NVIDIA Corporation Provides Earnings Guidance for the First Quarter of Fiscal Year 2026,29,Corporate Guidance - New/Confirmed,1,Target,2025-02-26,21:20:00,Coordinated Universal Time,2025-02-26 21:20:00,2025-02-27,05:51:00,2025-02-27 10:51:00,2025-02-27 05:53:00,2025-02-27 10:53:00,2025-02-26 21:20:00,2025-02-27 11:00:25,,117768,GlobeNewswire,NVDA,NVIDIA CORP
1932627025.0,25016048.0,Broadcom Inc.,"Broadcom Inc. Presents at Mobile World Congress Barcelona 2025, Mar-03-2025",51,Company Conference Presentations,1,Target,2025-02-26,18:11:00,                              .,2025-02-26 18:11:00,2025-02-26,18:00:00,2025-02-26 23:00:00,2025-02-27 11:01:00,2025-02-27 16:01:00,2025-03-03 00:00:00,2025-03-03 00:00:00,,180711,MULTIPLE,AVGO,BROADCOM INC
1932629619.0,275004592.0,Snowflake Inc.,"Snowflake Inc. Reports Earnings Results for the Fourth Quarter and Full Year Ended January 31, 2025",28,Announcements of Earnings,1,Target,2025-02-26,21:07:00,Coordinated Universal Time,2025-02-26 21:07:00,2025-02-26,19:16:00,2025-02-27 00:16:00,2025-02-26 20:05:00,2025-02-27 01:05:00,2025-02-26 21:07:00,2025-02-27 01:15:12,2025-02-27 20:45:11,339965,S&P Capital IQ Financials Database,SNOW,SNOWFLAKE INC
1932872391.0,20765463.0,"Meta Platforms, Inc.",ManageXR Partners with Meta to Scale Virtual Reality Deployments,23,Client Announcements,1,Target,2025-02-26,16:00:00,Coordinated Universal Time,2025-02-26 16:00:00,2025-02-28,05:59:00,2025-02-28 10:59:00,2025-02-28 06:02:00,2025-02-28 11:02:00,2025-02-26 16:00:00,2025-02-28 11:15:09,,170617,PR Newswire,META,META PLATFORMS INC
